,event,ts
0,start train,1680830807.754823
1,before query,1680830807.7548373
2,async try again,1680830808.2220085
3,before query,1680830810.2242026
4,async try again,1680830810.2402086
5,before query,1680830812.2423887
6,async try again,1680830812.2570517
7,before query,1680830814.2581992
8,async try again,1680830814.2667007
9,before query,1680830816.2687705
10,async try again,1680830816.2779956
11,before query,1680830818.278214
12,async try again,1680830818.2880912
13,before query,1680830820.29026
14,async try again,1680830820.3016763
15,before query,1680830822.3038132
16,async try again,1680830822.318658
17,before query,1680830824.3208125
18,async try again,1680830824.3352642
19,before query,1680830826.3374527
20,async try again,1680830826.3532782
21,before query,1680830828.3543031
22,async try again,1680830828.3712094
23,before query,1680830830.3734236
24,async try again,1680830830.3899102
25,before query,1680830832.3921175
26,async try again,1680830832.408948
27,before query,1680830834.4111392
28,async try again,1680830834.42669
29,before query,1680830836.4288871
30,async try again,1680830836.4452143
31,before query,1680830838.4474123
32,async try again,1680830838.4680994
33,before query,1680830840.4703004
34,async try again,1680830840.4878366
35,before query,1680830842.4900668
36,async try again,1680830842.5064793
37,before query,1680830844.5086913
38,async try again,1680830844.5237267
39,before query,1680830846.5259237
40,async try again,1680830846.5423996
41,before query,1680830848.5446043
42,async try again,1680830848.5609667
43,before query,1680830850.563167
44,async try again,1680830850.5790925
45,before query,1680830852.5812771
46,async try again,1680830852.5971875
47,before query,1680830854.5994
48,async try again,1680830854.6162903
49,before query,1680830856.6184988
50,async try again,1680830856.6349068
51,before query,1680830858.6371198
52,async try again,1680830858.650783
53,before query,1680830860.6529856
54,async try again,1680830860.669054
55,before query,1680830862.6712434
56,async try again,1680830862.6868606
57,before query,1680830864.6890614
58,async try again,1680830864.705822
59,before query,1680830866.7080243
60,async try again,1680830866.7243233
61,before query,1680830868.7265003
62,async try again,1680830868.742025
63,before query,1680830870.7442331
64,async try again,1680830870.7646592
65,before query,1680830872.7669036
66,async try again,1680830872.784395
67,before query,1680830874.786609
68,async try again,1680830874.8032854
69,before query,1680830876.8054235
70,async try again,1680830876.8228376
71,before query,1680830878.8250427
72,async try again,1680830878.8415644
73,before query,1680830880.8437643
74,async try again,1680830880.8640606
75,before query,1680830882.866255
76,async try again,1680830882.889005
77,before query,1680830884.8902712
78,async try again,1680830884.9060802
79,before query,1680830886.9063163
80,async try again,1680830886.9236784
81,before query,1680830888.9258797
82,async try again,1680830888.9465086
83,before query,1680830890.948709
84,async try again,1680830890.965439
85,before query,1680830892.967639
86,async try again,1680830892.9820397
